n,k,m,BruteForce,WIT,WIT+Bucket,SAIT
0,1333,2662,5045,224765

3766762,5,0.001,3798,542,114,270
3766762,10,0.001,5808,790,192,371
3766762,15,0.001,7668,990,269,467
3766762,20,0.001,9344,1179,344,579
3766762,25,0.001,11088,1353,423,678
3766762,30,0.001,12812,1475,499,763
3766762,35,0.001,14508,1673,578,887
3766762,40,0.001,16265,1793,660,985
3766762,45,0.001,17983,1941,737,1079

3766762,5,0.001,3646,541,112,269
3766762,5,0.005,622,597,58,235
3766762,5,0.01,293,638,57,224
3766762,5,0.05,48,741,78,206
3766762,5,0.1,23,801,98,205

37667,5,0.01,238,111,56,125
188338,5,0.01,268,179,57,153
376676,5,0.01,239,227,57,167
1883381,5,0.01,299,456,57,221

