n,k,m,BruteForce,WIT,WIT+Bucket,SAIT
0,791,1637,2995,51603

2312602,5,0.001,17,1873,120,426
2312602,10,0.001,31,3288,184,522
2312602,15,0.001,42,4527,237,618
2312602,20,0.001,55,5540,292,733
2312602,25,0.001,67,6473,336,838
2312602,30,0.001,78,7251,364,932
2312602,35,0.001,97,8107,419,1067
2312602,40,0.001,108,8805,444,1172
2312602,45,0.001,118,9545,475,1278

2312602,5,0.001,17,1871,120,419
2312602,5,0.005,17,1887,121,391
2312602,5,0.01,17,1838,122,367
2312602,5,0.05,15,1685,130,298
2312602,5,0.1,14,1458,139,263

5,13,19,318
23126,5,0.01,18,326,119,236
32,67,106,2018
115630,5,0.01,18,573,120,283
68,138,224,4361
231260,5,0.01,16,630,114,291
378,757,1366,24597
1156301,5,0.01,18,1599,118,351
